Property Name,sentence,label
Mondrian London at Sea Containers,"'''nice visit but did not feel special. upgraded to superior room on top floor (extra 35) so big room &amp; nice drencher shower. room was very nicely done out. did not have a bar just for residents, so meant we could not get a table for pre dinner cocktails but sat at the bar and was fine. rooftop bar does not open on sundays even at bank hols which was a shame. for the rate we got it was good, but did not have anything of a wow factor to justify top price. did not feel the service made it feel like a special experience. in summary, nothing wrong with it but feel there are nicer places to stay for time away together.'''",1
"The Wellesley Knightsbridge, a Luxury Collection Hotel, London","'''we stayed for a few days in october, and it was a perfectly adequate hotel for our needs (a few days of leisurely sightseeing/shopping/eating). the location is wonderful- right at the hyde park corner tube stop, and across the street from hyde park. we enjoyed morning walks/runs/coffee every morning of our stay. there are a few pubs/restaurants nearby, as well as the bar/restaurant of the hotels in that area, but it is more of a residential/embassy area. our room was fine, although on the first floor and a mostly frosted glass window with not much light coming through. the marble bathroom with heated floor is a nice touch! everything was clean. the reason i gave it 3 stars is actually the service. most people were polite, but there was were a few distinctive &amp; unhelpful interactions during our stay. first, we arrived pretty early from an international, overnight flight. we were obviously kind of tired and hoping they might have a room available, although fully aware they may not. we arrived to the hotel around 8:30am, and a room was not offered to us until 2:15pm. we had a very overpriced breakfast in the hotel, went for a long walk, and came back around 11:30, at which point we needed to change for a lunch. they offered us the stairwell &amp; lobby bathrooms to change in...which was really not very useful, although we did it. the other main issue i had was that their service in terms of our room &amp; belongings was rather invasive. they sent a butler to show the ""room features"", and then at turn down on the first night, they did quite a bit of unnecessary &amp; unwelcome unpacking of our clothes. they put things in the closet that we had to search for when we returned, and even put some clothes (some of which were our pajamas!) into the hotel laundry bag. i do not know if most people use the laundry service, but we were there for only a few days and it was most annoying for them to presume (and select which clothes) that we would send out our laundry. these were minor incidents, but because the place prides itself on service, i found this incongruous. we also asked twice to use the hotel car, and it was not available either time. we got a fairly good deal, and with the comfortable bed, clean bath &amp; great location, i would have felt like it was a place i could recommend. the invasive nature of the daily cleaning &amp; turndown services however truly detracted from our experience.'''",1
The Savoy,"'''lovely furnishings, amenities and service. however, when returning to my suite early one afternoon, i discovered an unexpected visitor. unbeknownst to the ""visitor"", i had observed him entering my room from a distance. he appeared to be a maintenance person but later i realized he may have had more in mind than maintenance. | some indicators: he did not place notification of his presence on the door so i would be aware of him before i entered; when i entered i called out and he did not reply or in any way acknowledge his presence (he may have thought i was housekeeping and would leave without discovering him in this fairly large 4 room suite); even as i entered the sitting room, he did not make himself known; once i observed him, he did not identify himself; his stance and location in the very center of the bedroom with no tools in hand was awkward; his explanation of repairing the ceiling chandelier which was - and had been - working perfectly was obviously fabricated on the spot; his sardonic remark as he quickly left was frightening. in hind sight i believe this person had malicious intentions. | all was reported to management. i requested a change of locking mechanisms but this request was declined. i was offered a fresh pot of tea. | after returning home, i had a brief email communication with the head of maintenance who assured me it was a maintenance employee who had entered to replace a light bulb. however he failed to explain why the man did not have a ladder with him as the light bulbs would not be visible without being able to see above the shades which were about 7 to 8 feet above the floor, much less be able to replace the bulbs. | i also sent an email to the regional office about two weeks ago and have yet to receive a reply. | add to my experience the feeble fairy tale told by maintenance, the failure of a response from regional, and the casual attitude of the manager on site, it does appear there are security issues. management does not want to discuss the problem, of course, because of negative publicity. | in hindsight i should have reported this to the police. i would advise not to stay at this hotel.'''",1
Mondrian London at Sea Containers,"'''we stayed here for 3 nights and was expecting it to be 'wow' but must say i was disappointed. last time we were in london we stayed at the soho hotel which we were very impressed with and thought this hotel would be of a similar standard. sadly it was not.we had a room over looking the thames, the room was clean and the bed comfortable but found the decor uninteresting, very little hanging space,the bathroom was an average size . the service we received on checkin was good but found the service in the restaurant where we had breakfast to be lacking. constantly trying to catch there eye for service, all seemed to be wandering around doing everything but giving service. one morning the toaster was not working asked one of the guys he did not know how to work it and walked away. repeatedly i would ask for my flat white coffee to be extra hot never was and gave up. there is no black pepper on the table only salt which i found odd always had to ask for it when i questioned it i was told not enough room on the table!!!! my cup one morning had a chip in it. for this standard of hotel not good enough. we had drinks in the bar one night if you wanted any nuts or chips to nibble on you had to pay for them the drinks were pricey enough add an extra few pence to all the drinks and supply chips or nuts you might find in the end people will stay and in the long run spend more. i did bring these things to the attention of management and in fairness they did send a lovely bottle of wine and cheese to our room with a note of apology. this is not a cheap hotel and expected much more sadly next time in london we will choose a different hotel.'''",1
The Rembrandt,'''visited for a 2 night stay rooms were ok but not plush and we had booked an executive room rang twice for beverage replenishment and never came.sat in the bar in the evening only serve 175ml wine cannot get 250ml ordered ice cream only vanilla strawberry left! the hotel had a wedding on saturday so limited service and on sunday evening no restaurant service at all stayed at the rubens prev much better in all aspects for same deal price with secret escapes.what a shame as location good | so much choice of hotels so why not strive to be excellent''',1
"Hotel Xenia, Autograph Collection",'''nice property and super helpful staff. the location is also good - you can take the tube from heathrow. the stop is just a couple blocks from the earl's court station. the rooms are very small however.''',1
Marble Arch Hotel,"'''they try their best... | - negative points: | the rooms are small | the tv in the rooms is really small | no cabs outside of the hotel | there was no nightporter just when we needed a cab | - positive points | there is an nespresso machine in the room | they are really friendly | the water in the room | they try their best with the little touches in the room like the wallpaper and the art next to the elevator | amazing location very quiet and peacefull but still central, very safe and welcoming place'''",1
"Hotel Xenia, Autograph Collection","'''great location but extremely tiny rooms. also very helpful staff and some nice amenities,such as bathrobes. but the room is disappointing as it is too too small. no space to hardly open up suitcase - which is where you will have to keep all your clothing because there are no drawers and closet is minuscule. probably would not recommend to others. i am currently starting here.'''",1
The Rembrandt,"'''we chose this hotel as it was well situated for our needs. in addition, my sister had stayed at the rembrandt several times before and highly recommended it. | i paid a little extra to have a deluxe/superior room however, what we got was a misshapen corner room with little room to move. if my sister was in bed with her knees up i could not see the tv. i was bitterly disappointed. | we spoke to reception who showed me two other rooms which were worlds apart from my room. why did they stick me in this horrible room when they had other, nicer rooms which apparently the same standard as mine. were they heck! they were 100% more superior. nicer furnishings, bigger and better appointed. | this being said there was one major issue. when we arrived in the new room we left our stuff and when to the bar for a drink. when we got back to the room later that night we had a quick explore. my sister opened a door which led straight through to the next room where a couple were fast asleep. not only was the room not locked but we were able to get into their room. they could have come into our room whilst we were out and stolen anything! | they need to sort this out. | anyway, the bar area was good, the food was lovely and the afternoon tea was very good. but at 250 for a double room for one night i feel robbed for the amount of disruption there was. we complained to the manager who offered me 25% off my next stay. what a load of tosh. next stay? i do not think so .................'''",1
Rhodes Hotel,'''nice value for money | great breakfast | staff extremely kind and helpful | great exercise walking up the stairs | really close to train station an restaurants | after finding out i was australian the next morning they offered vegemite as a choice of spread.''',1
